Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2016-12-09,1.08,837914.0,772896.0,1610810.0
2016-12-08,0.89,872282.0,985257.0,1857539.0
2016-12-07,0.91,828439.0,906404.0,1734843.0
2016-12-06,1.16,522861.0,451240.0,974101.0
2016-12-05,1.21,544941.0,450221.0,995162.0
2016-12-02,1.26,615379.0,487803.0,1103182.0
2016-12-01,1.46,560148.0,384851.0,944999.0
2016-11-30,1.26,706061.0,558685.0,1264746.0
2016-11-29,1.66,544942.0,328761.0,873703.0
2016-11-28,1.63,568415.0,348872.0,917287.0
2016-11-25,1.1,564992.0,512045.0,1077037.0
2016-11-23,1.42,624906.0,440059.0,1064965.0
2016-11-22,1.49,759805.0,508661.0,1268466.0
2016-11-21,1.26,701045.0,556439.0,1257484.0
2016-11-18,1.43,778315.0,544344.0,1322659.0
2016-11-17,1.14,722037.0,634440.0,1356477.0
2016-11-16,1.18,813866.0,687627.0,1501493.0
2016-11-15,1.35,712244.0,528787.0,1241031.0
2016-11-14,1.24,832827.0,674252.0,1507079.0
2016-11-11,1.86,941099.0,505643.0,1446742.0
2016-11-10,1.33,1070805.0,807937.0,1878742.0
2016-11-09,1.55,1416756.0,916089.0,2332845.0
2016-11-08,2.14,1097807.0,513038.0,1610845.0
2016-11-07,1.78,1022098.0,573939.0,1596037.0
2016-11-04,1.99,1205847.0,605009.0,1810856.0
2016-11-03,1.87,992063.0,529812.0,1521875.0
2016-11-02,1.63,855849.0,524366.0,1380215.0
2016-11-01,1.95,902846.0,462656.0,1365502.0
2016-10-31,1.81,613390.0,338203.0,951593.0
2016-10-28,1.83,887234.0,484537.0,1371771.0
2016-10-27,1.48,626043.0,423775.0,1049818.0
2016-10-26,1.43,561572.0,391786.0,953358.0
2016-10-25,2.03,528680.0,260628.0,789308.0
2016-10-24,2.22,586137.0,263491.0,849628.0
2016-10-21,1.96,873516.0,445291.0,1318807.0
2016-10-20,1.46,661046.0,452834.0,1113880.0
2016-10-19,1.57,740025.0,470432.0,1210457.0
2016-10-18,1.48,684639.0,463394.0,1148033.0
2016-10-17,1.65,567441.0,344373.0,911814.0
2016-10-14,1.69,757288.0,447734.0,1205022.0
2016-10-13,1.55,765153.0,494623.0,1259776.0
2016-10-12,1.95,731054.0,375314.0,1106368.0
2016-10-11,1.64,887503.0,539881.0,1427384.0
2016-10-10,1.67,609545.0,365785.0,975330.0
2016-10-07,1.85,778738.0,421600.0,1200338.0
2016-10-06,1.9,515209.0,271754.0,786963.0
2016-10-05,1.74,467048.0,267993.0,735041.0
2016-10-04,1.62,641198.0,397002.0,1038200.0
2016-10-03,1.97,606728.0,308035.0,914763.0
2016-09-30,1.69,776345.0,458399.0,1234744.0
2016-09-29,1.8,881446.0,489364.0,1370810.0
2016-09-28,1.45,619819.0,426629.0,1046448.0
2016-09-27,1.66,601373.0,361246.0,962619.0
2016-09-26,1.78,712461.0,400177.0,1112638.0
2016-09-23,2.11,879662.0,416607.0,1296269.0
2016-09-22,1.73,1041212.0,601856.0,1643068.0
2016-09-21,1.94,1026175.0,529095.0,1555270.0
2016-09-20,1.53,518987.0,340174.0,859161.0
2016-09-19,1.65,604994.0,365907.0,970901.0
2016-09-16,1.63,901128.0,552775.0,1453903.0
2016-09-15,1.56,771292.0,494751.0,1266043.0
2016-09-14,1.51,840196.0,555329.0,1395525.0
2016-09-13,1.65,831481.0,505205.0,1336686.0
2016-09-12,1.44,1191102.0,827291.0,2018393.0
2016-09-09,2.04,1436824.0,705554.0,2142378.0
2016-09-08,1.88,682940.0,364143.0,1047083.0
2016-09-07,2.07,724475.0,350128.0,1074603.0
2016-09-06,1.45,700638.0,484858.0,1185496.0
2016-09-02,2.16,843061.0,390174.0,1233235.0
2016-09-01,2.08,689843.0,331340.0,1021183.0
2016-08-31,2.21,745257.0,337666.0,1082923.0
2016-08-30,1.63,619229.0,379478.0,998707.0
2016-08-29,1.45,592849.0,407752.0,1000601.0
2016-08-26,1.53,865412.0,565116.0,1430528.0
2016-08-25,1.88,646075.0,344321.0,990396.0
2016-08-24,1.53,744318.0,487994.0,1232312.0
2016-08-23,1.45,597497.0,411191.0,1008688.0
2016-08-22,1.51,508590.0,335949.0,844539.0
2016-08-19,1.83,711116.0,388457.0,1099573.0
2016-08-18,1.5,565163.0,376927.0,942090.0
2016-08-17,1.57,712116.0,454815.0,1166931.0
2016-08-16,1.56,644833.0,413138.0,1057971.0
2016-08-15,1.34,589156.0,440703.0,1029859.0
2016-08-12,1.38,581738.0,420507.0,1002245.0
2016-08-11,1.57,529780.0,337239.0,867019.0
2016-08-10,1.5,568505.0,379127.0,947632.0
2016-08-09,1.59,510331.0,321186.0,831517.0
2016-08-08,1.43,591667.0,413190.0,1004857.0
2016-08-05,1.47,904559.0,615767.0,1520326.0
2016-08-04,1.69,475477.0,280945.0,756422.0
2016-08-03,2.05,479452.0,233905.0,713357.0
2016-08-02,1.59,592310.0,372001.0,964311.0
2016-08-01,1.84,571530.0,311366.0,882896.0
2016-07-29,1.64,843575.0,513601.0,1357176.0
2016-07-28,1.42,712362.0,500676.0,1213038.0
2016-07-27,1.38,529026.0,383963.0,912989.0
2016-07-26,1.42,405430.0,284899.0,690329.0
2016-07-25,1.37,509429.0,372164.0,881593.0
2016-07-22,1.67,645516.0,386869.0,1032385.0
2016-07-21,1.66,568146.0,342463.0,910609.0
2016-07-20,1.18,863611.0,730049.0,1593660.0
2016-07-19,1.58,492177.0,311167.0,803344.0
2016-07-18,1.47,623780.0,423310.0,1047090.0
2016-07-15,1.57,740652.0,472181.0,1212833.0
2016-07-14,0.92,782196.0,846927.0,1629123.0
2016-07-13,1.23,650390.0,527134.0,1177524.0
2016-07-12,1.08,869858.0,808355.0,1678213.0
2016-07-11,0.98,815180.0,835478.0,1650658.0
2016-07-08,1.03,975363.0,943202.0,1918565.0
2016-07-07,1.44,692448.0,482490.0,1174938.0
2016-07-06,1.64,727611.0,442861.0,1170472.0
2016-07-05,2.2,745175.0,338910.0,1084085.0
2016-07-01,1.79,970321.0,541260.0,1511581.0
2016-06-30,1.54,1253489.0,811693.0,2065182.0
2016-06-29,1.6,1197790.0,747298.0,1945088.0
2016-06-28,1.54,1030103.0,668173.0,1698276.0
2016-06-27,1.56,1317964.0,843796.0,2161760.0
2016-06-24,2.02,1453818.0,720750.0,2174568.0
2016-06-23,1.81,815955.0,450992.0,1266947.0
2016-06-22,1.54,841106.0,546273.0,1387379.0
2016-06-21,2.09,780302.0,373217.0,1153519.0
2016-06-20,1.79,666496.0,373035.0,1039531.0
2016-06-17,1.92,891012.0,463144.0,1354156.0
2016-06-16,1.88,998495.0,529840.0,1528335.0
2016-06-15,2.32,962192.0,414174.0,1376366.0
2016-06-14,2.06,951893.0,462942.0,1414835.0
2016-06-13,2.01,782198.0,389241.0,1171439.0
2016-06-10,1.78,812123.0,455308.0,1267431.0
2016-06-09,1.56,543939.0,348061.0,892000.0
2016-06-08,1.39,560169.0,402244.0,962413.0
2016-06-07,1.24,741548.0,598463.0,1340011.0
2016-06-06,1.52,742674.0,489723.0,1232397.0
2016-06-03,1.29,755008.0,584524.0,1339532.0
2016-06-02,1.48,532326.0,360359.0,892685.0
2016-06-01,1.71,705686.0,413351.0,1119037.0
2016-05-31,1.7,771157.0,453232.0,1224389.0
2016-05-27,1.51,675694.0,446828.0,1122522.0
2016-05-26,1.53,601891.0,393811.0,995702.0
2016-05-25,1.21,699398.0,578386.0,1277784.0
2016-05-24,1.6,782438.0,490285.0,1272723.0
2016-05-23,1.99,582556.0,293163.0,875719.0
2016-05-20,1.5,662266.0,440569.0,1102835.0
2016-05-19,1.86,917745.0,493876.0,1411621.0
2016-05-18,1.61,770399.0,478260.0,1248659.0
2016-05-17,1.58,651355.0,412091.0,1063446.0
2016-05-16,1.43,457099.0,319626.0,776725.0
2016-05-13,2.08,719482.0,346463.0,1065945.0
2016-05-12,1.97,556179.0,282524.0,838703.0
2016-05-11,1.84,657576.0,356890.0,1014466.0
2016-05-10,1.55,593815.0,383914.0,977729.0
2016-05-09,2.36,432894.0,183664.0,616558.0
2016-05-06,1.72,819710.0,475669.0,1295379.0
2016-05-05,2.01,564601.0,280431.0,845032.0
2016-05-04,1.28,599377.0,467447.0,1066824.0
2016-05-03,1.99,570835.0,286825.0,857660.0
2016-05-02,1.5,342324.0,227673.0,569997.0
2016-04-29,1.65,884981.0,537897.0,1422878.0
2016-04-28,1.52,552885.0,363649.0,916534.0
2016-04-27,1.52,485359.0,318662.0,804021.0
2016-04-26,1.42,363178.0,255393.0,618571.0
2016-04-25,1.49,372711.0,250564.0,623275.0
2016-04-22,2.06,671934.0,326076.0,998010.0
2016-04-21,1.6,610078.0,381638.0,991716.0
2016-04-20,1.61,951057.0,590368.0,1541425.0
2016-04-19,1.21,609118.0,502711.0,1111829.0
2016-04-18,1.93,464814.0,240951.0,705765.0
2016-04-15,1.78,614376.0,345668.0,960044.0
2016-04-14,1.15,652522.0,566377.0,1218899.0
2016-04-13,1.05,591555.0,563531.0,1155086.0
2016-04-12,1.43,439135.0,306927.0,746062.0
2016-04-11,1.65,442406.0,268837.0,711243.0
2016-04-08,1.9,583173.0,306277.0,889450.0
2016-04-07,1.56,568776.0,365374.0,934150.0
2016-04-06,1.78,488186.0,273590.0,761776.0
2016-04-05,1.71,462337.0,270930.0,733267.0
2016-04-04,1.42,450412.0,318252.0,768664.0
2016-04-01,1.47,643106.0,438850.0,1081956.0
2016-03-31,1.89,639176.0,338146.0,977322.0
2016-03-30,1.11,809817.0,729378.0,1539195.0
2016-03-29,1.46,486866.0,332503.0,819369.0
2016-03-28,1.66,385512.0,232832.0,618344.0
2016-03-24,1.85,712949.0,384487.0,1097436.0
2016-03-23,1.42,564915.0,398280.0,963195.0
2016-03-22,1.56,510229.0,326317.0,836546.0
2016-03-21,1.54,497790.0,323121.0,820911.0
2016-03-18,1.33,712080.0,533931.0,1246011.0
2016-03-17,1.06,837080.0,789924.0,1627004.0
2016-03-16,1.54,801723.0,520404.0,1322127.0
2016-03-15,1.33,512882.0,385706.0,898588.0
2016-03-14,1.5,471223.0,314004.0,785227.0
2016-03-11,1.2,784866.0,653788.0,1438654.0
2016-03-10,1.75,687714.0,393681.0,1081395.0
2016-03-09,1.5,566937.0,378964.0,945901.0
2016-03-08,1.79,566910.0,317573.0,884483.0
2016-03-07,1.77,477861.0,269380.0,747241.0
2016-03-04,1.19,810738.0,678829.0,1489567.0
2016-03-03,1.25,688729.0,549088.0,1237817.0
2016-03-02,1.79,698228.0,390087.0,1088315.0
2016-03-01,1.25,709951.0,567921.0,1277872.0
2016-02-29,1.84,652667.0,354876.0,1007543.0
2016-02-26,1.55,735972.0,474193.0,1210165.0
2016-02-25,1.79,585706.0,327326.0,913032.0
2016-02-24,1.87,655794.0,350802.0,1006596.0
2016-02-23,2.52,643698.0,255670.0,899368.0
2016-02-22,1.76,732131.0,416528.0,1148659.0
2016-02-19,2.12,758179.0,357427.0,1115606.0
2016-02-18,1.72,785986.0,456657.0,1242643.0
2016-02-17,1.9,1077143.0,566865.0,1644008.0
2016-02-16,1.91,731364.0,382572.0,1113936.0
2016-02-12,1.91,898249.0,470100.0,1368349.0
2016-02-11,1.93,903969.0,467733.0,1371702.0
2016-02-10,1.84,614631.0,334503.0,949134.0
2016-02-09,1.99,680921.0,341790.0,1022711.0
2016-02-08,1.89,898356.0,474557.0,1372913.0
2016-02-05,1.79,797204.0,444857.0,1242061.0
2016-02-04,2.21,593813.0,268927.0,862740.0
2016-02-03,1.7,704897.0,414043.0,1118940.0
2016-02-02,1.73,563898.0,325791.0,889689.0
2016-02-01,1.72,571148.0,331810.0,902958.0
2016-01-29,1.47,881355.0,599208.0,1480563.0
2016-01-28,1.84,515637.0,280918.0,796555.0
2016-01-27,1.53,528866.0,345991.0,874857.0
2016-01-26,1.22,447852.0,367919.0,815771.0
2016-01-25,1.6,501222.0,312800.0,814022.0
2016-01-22,1.65,767356.0,466231.0,1233587.0
2016-01-21,1.61,920626.0,571093.0,1491719.0
2016-01-20,2.39,1669037.0,696907.0,2365944.0
2016-01-19,1.94,661648.0,341177.0,1002825.0
2016-01-15,2.28,1107532.0,484893.0,1592425.0
2016-01-14,1.8,1118806.0,622818.0,1741624.0
2016-01-13,2.11,886075.0,420682.0,1306757.0
2016-01-12,1.7,693482.0,407329.0,1100811.0
2016-01-11,2.61,1089364.0,417192.0,1506556.0
2016-01-08,2.22,1075158.0,485110.0,1560268.0
2016-01-07,2.24,1180915.0,527000.0,1707915.0
2016-01-06,1.87,724616.0,387728.0,1112344.0
2016-01-05,2.04,584610.0,286672.0,871282.0
2016-01-04,1.78,835105.0,469456.0,1304561.0
2015-12-31,1.97,625693.0,318189.0,943882.0
2015-12-30,2.39,454520.0,190177.0,644697.0
2015-12-29,1.74,466358.0,268121.0,734479.0
2015-12-28,1.85,307101.0,165773.0,472874.0
2015-12-24,1.92,303930.0,158106.0,462036.0
2015-12-23,1.64,629289.0,382719.0,1012008.0
2015-12-22,2.03,584328.0,287400.0,871728.0
2015-12-21,1.88,523963.0,278346.0,802309.0
2015-12-18,2.14,787530.0,368403.0,1155933.0
2015-12-17,1.64,790497.0,480548.0,1271045.0
2015-12-16,1.63,801324.0,492214.0,1293538.0
2015-12-15,1.77,696706.0,393204.0,1089910.0
2015-12-14,2.59,972931.0,375229.0,1348160.0
2015-12-11,2.11,1154944.0,547025.0,1701969.0
2015-12-10,1.98,668619.0,337794.0,1006413.0
2015-12-09,1.7,672858.0,396764.0,1069622.0
2015-12-08,1.38,388801.0,282197.0,670998.0
2015-12-07,2.03,477851.0,234893.0,712744.0
2015-12-04,1.66,815896.0,492348.0,1308244.0
2015-12-03,2.06,929023.0,450050.0,1379073.0
2015-12-02,1.78,696404.0,391935.0,1088339.0
2015-12-01,2.18,561897.0,257973.0,819870.0
2015-11-30,2.62,689134.0,262634.0,951768.0
2015-11-27,2.13,438313.0,205494.0,643807.0
2015-11-25,2.28,524840.0,230078.0,754918.0
2015-11-24,2.44,596111.0,243825.0,839936.0
2015-11-23,2.68,550844.0,205706.0,756550.0
2015-11-20,2.11,682116.0,323574.0,1005690.0
2015-11-19,1.48,577087.0,389774.0,966861.0
2015-11-18,2.21,923117.0,418173.0,1341290.0
2015-11-17,1.88,596520.0,317771.0,914291.0
2015-11-16,1.8,745756.0,415416.0,1161172.0
2015-11-13,2.15,1222187.0,567649.0,1789836.0
2015-11-12,2.2,821698.0,373976.0,1195674.0
2015-11-11,2.15,384772.0,178899.0,563671.0
2015-11-10,1.41,350817.0,248633.0,599450.0
2015-11-09,2.53,830990.0,328662.0,1159652.0
2015-11-06,1.85,880196.0,476336.0,1356532.0
2015-11-05,2.17,624796.0,287551.0,912347.0
2015-11-04,1.53,515845.0,337604.0,853449.0
2015-11-03,1.21,698795.0,577052.0,1275847.0
2015-11-02,1.54,485346.0,315874.0,801220.0
2015-10-30,1.95,788904.0,404369.0,1193273.0
2015-10-29,1.19,802555.0,672738.0,1475293.0
2015-10-28,1.24,590787.0,475526.0,1066313.0
2015-10-27,1.88,516973.0,274749.0,791722.0
2015-10-26,1.43,362508.0,252878.0,615386.0
2015-10-23,1.1,940953.0,858823.0,1799776.0
2015-10-22,1.25,703100.0,563859.0,1266959.0
2015-10-21,1.98,654047.0,331005.0,985052.0
2015-10-20,1.72,530750.0,309093.0,839843.0
2015-10-19,1.55,516859.0,333994.0,850853.0
2015-10-16,2.11,600970.0,284694.0,885664.0
2015-10-15,1.73,726176.0,419233.0,1145409.0
2015-10-14,1.74,703043.0,404598.0,1107641.0
2015-10-13,1.53,582410.0,380149.0,962559.0
2015-10-12,1.96,418624.0,214090.0,632714.0
2015-10-09,1.21,725735.0,599142.0,1324877.0
2015-10-08,1.36,671585.0,492709.0,1164294.0
2015-10-07,1.65,714718.0,431899.0,1146617.0
2015-10-06,1.77,624544.0,353493.0,978037.0
2015-10-05,1.52,738076.0,484312.0,1222388.0
2015-10-02,1.97,797636.0,403973.0,1201609.0
2015-10-01,1.58,562686.0,356365.0,919051.0
2015-09-30,1.52,600729.0,393959.0,994688.0
2015-09-29,1.87,679901.0,362800.0,1042701.0
2015-09-28,2.04,896283.0,439711.0,1335994.0
2015-09-25,2.08,783200.0,377298.0,1160498.0
2015-09-24,1.57,631425.0,402826.0,1034251.0
2015-09-23,1.51,599624.0,396198.0,995822.0
2015-09-22,1.65,687226.0,416893.0,1104119.0
2015-09-21,1.99,638901.0,320579.0,959480.0
2015-09-18,1.83,835855.0,456010.0,1291865.0
2015-09-17,1.48,742649.0,502115.0,1244764.0
2015-09-16,1.98,929029.0,469562.0,1398591.0
2015-09-15,1.45,644680.0,443678.0,1088358.0
2015-09-14,1.61,458985.0,285581.0,744566.0
2015-09-11,1.95,834139.0,428075.0,1262214.0
2015-09-10,1.76,705566.0,401398.0,1106964.0
2015-09-09,1.95,613649.0,315279.0,928928.0
2015-09-08,1.83,657876.0,359283.0,1017159.0
2015-09-04,2.87,988928.0,345173.0,1334101.0
2015-09-03,1.73,690016.0,398871.0,1088887.0
2015-09-02,2.48,725235.0,292644.0,1017879.0
2015-09-01,2.53,1037798.0,409810.0,1447608.0
2015-08-31,2.39,821145.0,343518.0,1164663.0
2015-08-28,2.13,868791.0,408681.0,1277472.0
2015-08-27,2.2,1224279.0,557050.0,1781329.0
2015-08-26,2.52,1447340.0,574290.0,2021630.0
2015-08-25,2.39,1439911.0,602432.0,2042343.0
2015-08-24,3.77,1978736.0,524873.0,2503609.0
2015-08-21,3.42,2312576.0,676857.0,2989433.0
2015-08-20,2.34,1359275.0,581975.0,1941250.0
2015-08-19,1.89,971127.0,514928.0,1486055.0
2015-08-18,1.57,501338.0,319422.0,820760.0
2015-08-17,1.51,482255.0,318562.0,800817.0
2015-08-14,2.26,570668.0,252936.0,823604.0
2015-08-13,2.17,564548.0,260085.0,824633.0
2015-08-12,1.91,860969.0,451786.0,1312755.0
2015-08-11,2.1,689019.0,328536.0,1017555.0
2015-08-10,1.85,496603.0,268869.0,765472.0
2015-08-07,2.06,866181.0,419724.0,1285905.0
2015-08-06,1.82,724607.0,397880.0,1122487.0
2015-08-05,2.1,448775.0,214053.0,662828.0
2015-08-04,2.12,376869.0,178053.0,554922.0
2015-08-03,1.86,535950.0,288574.0,824524.0
2015-07-31,2.26,663875.0,294281.0,958156.0
2015-07-30,1.42,432168.0,305144.0,737312.0
2015-07-29,1.75,460356.0,263240.0,723596.0
2015-07-28,1.9,577548.0,304107.0,881655.0
2015-07-27,2.43,771627.0,317165.0,1088792.0
2015-07-24,2.57,1015436.0,394892.0,1410328.0
2015-07-23,1.68,565254.0,337052.0,902306.0
2015-07-22,2.04,580781.0,284726.0,865507.0
2015-07-21,1.83,484429.0,264525.0,748954.0
2015-07-20,1.69,526200.0,310797.0,836997.0
2015-07-17,1.99,632086.0,316988.0,949074.0
2015-07-16,1.25,763738.0,612200.0,1375938.0
2015-07-15,1.58,546163.0,344618.0,890781.0
2015-07-14,1.52,514044.0,338021.0,852065.0
2015-07-13,2.12,785084.0,370682.0,1155766.0
2015-07-10,1.9,807304.0,424485.0,1231789.0
2015-07-09,2.29,742949.0,324976.0,1067925.0
2015-07-08,3.11,787358.0,253229.0,1040587.0
2015-07-07,1.64,723504.0,439936.0,1163440.0
2015-07-06,1.99,591618.0,297892.0,889510.0
2015-07-02,2.33,679304.0,291305.0,970609.0
2015-07-01,2.26,691104.0,305498.0,996602.0
2015-06-30,2.03,841998.0,413760.0,1255758.0
2015-06-29,2.63,1161392.0,442152.0,1603544.0
2015-06-26,1.87,684202.0,366378.0,1050580.0
2015-06-25,1.74,475257.0,273236.0,748493.0
2015-06-24,1.91,507046.0,265931.0,772977.0
2015-06-23,2.34,407139.0,174027.0,581166.0
2015-06-22,1.88,509817.0,271867.0,781684.0
2015-06-19,2.47,659634.0,266708.0,926342.0
2015-06-18,1.31,743906.0,569298.0,1313204.0
2015-06-17,2.15,589702.0,274872.0,864574.0
2015-06-16,1.58,456344.0,288588.0,744932.0
2015-06-15,1.8,531801.0,294662.0,826463.0
2015-06-12,1.91,699050.0,365477.0,1064527.0
2015-06-11,1.95,475568.0,243259.0,718827.0
2015-06-10,2.01,582371.0,289198.0,871569.0
2015-06-09,2.09,533464.0,255580.0,789044.0
2015-06-08,1.92,566791.0,294443.0,861234.0
2015-06-05,2.15,770510.0,358713.0,1129223.0
2015-06-04,2.98,897940.0,301140.0,1199080.0
2015-06-03,1.8,370701.0,205937.0,576638.0
2015-06-02,2.45,487200.0,199211.0,686411.0
2015-06-01,1.71,430782.0,251751.0,682533.0
2015-05-29,2.67,699302.0,262324.0,961626.0
2015-05-28,2.17,454184.0,209548.0,663732.0
2015-05-27,1.6,470704.0,293684.0,764388.0
2015-05-26,1.96,599426.0,305688.0,905114.0
2015-05-22,1.97,537103.0,272984.0,810087.0
2015-05-21,1.57,412380.0,263005.0,675385.0
2015-05-20,2.32,489025.0,210718.0,699743.0
2015-05-19,1.54,351924.0,228105.0,580029.0
2015-05-18,1.85,520762.0,281179.0,801941.0
2015-05-15,2.39,578090.0,241470.0,819560.0
2015-05-14,1.33,562169.0,424206.0,986375.0
2015-05-13,1.9,367605.0,192969.0,560574.0
